api,attempts,concurrency,context_window,created_at_utc,endpoint,expected_task_count,max_retries,max_tokens,mode,model,native_timeouts,provider,proxy_url,reasoning,request_count,result_dir,results_found,run_id,schema_version,tasks,timeout_multiplier
,1,2,,2026-07-25T22:55:52.648271+00:00,https://api.electronhub.ai/v1,89,,,full,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-full-glm-5.2-dev-20260725-225552,90,tb21-omp-electronhub-full-glm-5.2-dev-20260725-225552,1,"['adaptive-rejection-sampler', 'bn-fit-modify', 'break-filter-js-from-html', 'build-cython-ext', 'build-pmars', 'build-pov-ray', 'caffe-cifar-10', 'cancel-async-tasks', 'chess-best-move', 'circuit-fibsqrt', 'cobol-modernization', 'code-from-image', 'compile-compcert', 'configure-git-webserver', 'constraints-scheduling', 'count-dataset-tokens', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'distribution-search', 'dna-assembly', 'dna-insert', 'extract-elf', 'extract-moves-from-video', 'feal-differential-cryptanalysis', 'feal-linear-cryptanalysis', 'filter-js-from-html', 'financial-document-processor', 'fix-code-vulnerability', 'fix-git', 'fix-ocaml-gc', 'gcode-to-text', 'git-leak-recovery', 'git-multibranch', 'gpt2-codegolf', 'headless-terminal', 'hf-model-inference', 'install-windows-3.11', 'kv-store-grpc', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'log-summary-date-ranges', 'mailman', 'make-doom-for-mips', 'make-mips-interpreter', 'mcmc-sampling-stan', 'merge-diff-arc-agi-task', 'model-extraction-relu-logits', 'modernize-scientific-stack', 'mteb-leaderboard', 'mteb-retrieve', 'multi-source-data-merger', 'nginx-request-logging', 'openssl-selfsigned-cert', 'overfull-hbox', 'password-recovery', 'path-tracing', 'path-tracing-reverse', 'polyglot-c-py', 'polyglot-rust-c', 'portfolio-optimization', 'protein-assembly', 'prove-plus-comm', 'pypi-server', 'pytorch-model-cli', 'pytorch-model-recovery', 'qemu-alpine-ssh', 'qemu-startup', 'query-optimize', 'raman-fitting', 'regex-chess', 'regex-log', 'reshard-c4-data', 'rstan-to-pystan', 'sam-cell-seg', 'sanitize-git-repo', 'schemelike-metacircular-eval', 'sparql-university', 'sqlite-db-truncate', 'sqlite-with-gcov', 'torch-pipeline-parallelism', 'torch-tensor-parallelism', 'train-fasttext', 'tune-mjcf', 'video-processing', 'vulnerable-secret', 'winning-avg-corewars', 'write-compressor']",
,1,2,,2026-07-25T21:28:16.679942+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-212816,0,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-212816,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
,1,2,,2026-07-25T21:29:24.232167+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-212924,1,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-212924,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
,1,2,,2026-07-25T21:30:04.249654+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-213004,4,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-213004,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
,1,2,,2026-07-25T21:36:12.270270+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-213612,1,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-213612,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
,1,2,,2026-07-25T21:42:05.244888+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-214205,4,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-214205,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
,1,2,,2026-07-25T22:25:07.688388+00:00,https://api.electronhub.ai/v1,3,,,smoke,glm-5.2:dev,True,electronhub,http://host.docker.internal:8765,,0,/home/caleb/terminal-bench-results/electronhub/tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-222507,4,tb21-omp-electronhub-smoke-glm-5.2-dev-20260725-222507,1,"['break-filter-js-from-html', 'cancel-async-tasks', 'adaptive-rejection-sampler']",
openai-completions,5,2,262144,2026-07-27T22:48:30.422218+00:00,https://api.kourier.sh/v1,89,3,49152,full,qwen3.6-35b,True,kourier,http://host.docker.internal:8765,True,0,/home/caleb/terminal-bench-results/kourier/tb21-omp-kourier-full-qwen3.6-35b-20260727-224830,13,tb21-omp-kourier-full-qwen3.6-35b-20260727-224830,1,"['adaptive-rejection-sampler', 'bn-fit-modify', 'break-filter-js-from-html', 'build-cython-ext', 'build-pmars', 'build-pov-ray', 'caffe-cifar-10', 'cancel-async-tasks', 'chess-best-move', 'circuit-fibsqrt', 'cobol-modernization', 'code-from-image', 'compile-compcert', 'configure-git-webserver', 'constraints-scheduling', 'count-dataset-tokens', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'distribution-search', 'dna-assembly', 'dna-insert', 'extract-elf', 'extract-moves-from-video', 'feal-differential-cryptanalysis', 'feal-linear-cryptanalysis', 'filter-js-from-html', 'financial-document-processor', 'fix-code-vulnerability', 'fix-git', 'fix-ocaml-gc', 'gcode-to-text', 'git-leak-recovery', 'git-multibranch', 'gpt2-codegolf', 'headless-terminal', 'hf-model-inference', 'install-windows-3.11', 'kv-store-grpc', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'log-summary-date-ranges', 'mailman', 'make-doom-for-mips', 'make-mips-interpreter', 'mcmc-sampling-stan', 'merge-diff-arc-agi-task', 'model-extraction-relu-logits', 'modernize-scientific-stack', 'mteb-leaderboard', 'mteb-retrieve', 'multi-source-data-merger', 'nginx-request-logging', 'openssl-selfsigned-cert', 'overfull-hbox', 'password-recovery', 'path-tracing', 'path-tracing-reverse', 'polyglot-c-py', 'polyglot-rust-c', 'portfolio-optimization', 'protein-assembly', 'prove-plus-comm', 'pypi-server', 'pytorch-model-cli', 'pytorch-model-recovery', 'qemu-alpine-ssh', 'qemu-startup', 'query-optimize', 'raman-fitting', 'regex-chess', 'regex-log', 'reshard-c4-data', 'rstan-to-pystan', 'sam-cell-seg', 'sanitize-git-repo', 'schemelike-metacircular-eval', 'sparql-university', 'sqlite-db-truncate', 'sqlite-with-gcov', 'torch-pipeline-parallelism', 'torch-tensor-parallelism', 'train-fasttext', 'tune-mjcf', 'video-processing', 'vulnerable-secret', 'winning-avg-corewars', 'write-compressor']",8.0
openai-completions,1,5,262144,2026-07-29T05:17:11.924930+00:00,https://api.kourier.sh/v1,89,3,49152,full,qwen3.6-35b,True,kourier,http://host.docker.internal:8765,True,0,/home/caleb/terminal-bench-results/kourier/tb21-omp-kourier-full-qwen3.6-35b-20260729-051711,90,tb21-omp-kourier-full-qwen3.6-35b-20260729-051711,1,"['adaptive-rejection-sampler', 'bn-fit-modify', 'break-filter-js-from-html', 'build-cython-ext', 'build-pmars', 'build-pov-ray', 'caffe-cifar-10', 'cancel-async-tasks', 'chess-best-move', 'circuit-fibsqrt', 'cobol-modernization', 'code-from-image', 'compile-compcert', 'configure-git-webserver', 'constraints-scheduling', 'count-dataset-tokens', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'distribution-search', 'dna-assembly', 'dna-insert', 'extract-elf', 'extract-moves-from-video', 'feal-differential-cryptanalysis', 'feal-linear-cryptanalysis', 'filter-js-from-html', 'financial-document-processor', 'fix-code-vulnerability', 'fix-git', 'fix-ocaml-gc', 'gcode-to-text', 'git-leak-recovery', 'git-multibranch', 'gpt2-codegolf', 'headless-terminal', 'hf-model-inference', 'install-windows-3.11', 'kv-store-grpc', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'log-summary-date-ranges', 'mailman', 'make-doom-for-mips', 'make-mips-interpreter', 'mcmc-sampling-stan', 'merge-diff-arc-agi-task', 'model-extraction-relu-logits', 'modernize-scientific-stack', 'mteb-leaderboard', 'mteb-retrieve', 'multi-source-data-merger', 'nginx-request-logging', 'openssl-selfsigned-cert', 'overfull-hbox', 'password-recovery', 'path-tracing', 'path-tracing-reverse', 'polyglot-c-py', 'polyglot-rust-c', 'portfolio-optimization', 'protein-assembly', 'prove-plus-comm', 'pypi-server', 'pytorch-model-cli', 'pytorch-model-recovery', 'qemu-alpine-ssh', 'qemu-startup', 'query-optimize', 'raman-fitting', 'regex-chess', 'regex-log', 'reshard-c4-data', 'rstan-to-pystan', 'sam-cell-seg', 'sanitize-git-repo', 'schemelike-metacircular-eval', 'sparql-university', 'sqlite-db-truncate', 'sqlite-with-gcov', 'torch-pipeline-parallelism', 'torch-tensor-parallelism', 'train-fasttext', 'tune-mjcf', 'video-processing', 'vulnerable-secret', 'winning-avg-corewars', 'write-compressor']",8.0
openai-completions,1,5,262144,2026-07-29T16:23:18.619076+00:00,https://api.kourier.sh/v1,89,3,49152,full,qwen3.6-35b,True,kourier,http://host.docker.internal:8766,True,0,/home/caleb/terminal-bench-results/kourier/tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,"['adaptive-rejection-sampler', 'bn-fit-modify', 'break-filter-js-from-html', 'build-cython-ext', 'build-pmars', 'build-pov-ray', 'caffe-cifar-10', 'cancel-async-tasks', 'chess-best-move', 'circuit-fibsqrt', 'cobol-modernization', 'code-from-image', 'compile-compcert', 'configure-git-webserver', 'constraints-scheduling', 'count-dataset-tokens', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'distribution-search', 'dna-assembly', 'dna-insert', 'extract-elf', 'extract-moves-from-video', 'feal-differential-cryptanalysis', 'feal-linear-cryptanalysis', 'filter-js-from-html', 'financial-document-processor', 'fix-code-vulnerability', 'fix-git', 'fix-ocaml-gc', 'gcode-to-text', 'git-leak-recovery', 'git-multibranch', 'gpt2-codegolf', 'headless-terminal', 'hf-model-inference', 'install-windows-3.11', 'kv-store-grpc', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'log-summary-date-ranges', 'mailman', 'make-doom-for-mips', 'make-mips-interpreter', 'mcmc-sampling-stan', 'merge-diff-arc-agi-task', 'model-extraction-relu-logits', 'modernize-scientific-stack', 'mteb-leaderboard', 'mteb-retrieve', 'multi-source-data-merger', 'nginx-request-logging', 'openssl-selfsigned-cert', 'overfull-hbox', 'password-recovery', 'path-tracing', 'path-tracing-reverse', 'polyglot-c-py', 'polyglot-rust-c', 'portfolio-optimization', 'protein-assembly', 'prove-plus-comm', 'pypi-server', 'pytorch-model-cli', 'pytorch-model-recovery', 'qemu-alpine-ssh', 'qemu-startup', 'query-optimize', 'raman-fitting', 'regex-chess', 'regex-log', 'reshard-c4-data', 'rstan-to-pystan', 'sam-cell-seg', 'sanitize-git-repo', 'schemelike-metacircular-eval', 'sparql-university', 'sqlite-db-truncate', 'sqlite-with-gcov', 'torch-pipeline-parallelism', 'torch-tensor-parallelism', 'train-fasttext', 'tune-mjcf', 'video-processing', 'vulnerable-secret', 'winning-avg-corewars', 'write-compressor']",8.0
