cache_read_tokens_reported,cache_write_tokens_reported,completed_at_utc,container_id,content_chunk_count,decode_wall_time_ms,error_message_sanitized,error_type,event_type,finish_reason,first_content_event_at_utc,first_stream_event_at_utc,http_status,in_flight_requests_at_start,input_tokens_estimated,input_tokens_reported,last_content_event_at_utc,model,output_tokens_estimated,output_tokens_reported,process_id,provider,provider_request_id,request_duration_ms,request_id_local,request_path,retry_index,run_id,schema_version,started_at_utc,stream_event_count,target_path,task_name,tokenizer_method,trial_id,ttft_content_ms,ttft_stream_event_ms,usage_source
,,2026-07-29T16:28:19.383401Z,,0,,,,request,,,2026-07-29T16:28:19.383307Z,429,4,,,,qwen3.6-35b,,,,kourier,,1701,02e2211532c3472999d09d8d15c0ad85,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:17.682372Z,1,/v1/chat/completions,unknown,,unknown,,1701,not_reported
19904,,2026-07-29T16:28:22.122515Z,,25,1986,,,request,tool_calls,2026-07-29T16:28:20.132805Z,2026-07-29T16:28:20.132664Z,200,3,,20039,,qwen3.6-35b,,149,,kourier,chatcmpl-6kwxq2QIMNx3pAeM0hw9isNh,4498,e094192b545644c79ef2ba2983a44518,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:17.624525Z,26,/v1/chat/completions,unknown,,unknown,2508,2508,provider_stream
19904,,2026-07-29T16:28:22.144886Z,,37,1609,,,request,tool_calls,2026-07-29T16:28:20.536151Z,2026-07-29T16:28:20.536062Z,200,5,,20373,,qwen3.6-35b,,254,,kourier,chatcmpl-v6ADgI1whvxsOUORMTyn6rId,4419,2952f204e6d846a0b04f72b85e340018,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:17.725521Z,38,/v1/chat/completions,unknown,,unknown,2811,2811,provider_stream
19904,,2026-07-29T16:28:23.306806Z,,75,3258,,,request,tool_calls,2026-07-29T16:28:20.014848Z,2026-07-29T16:28:20.014671Z,200,1,,20104,,qwen3.6-35b,,377,,kourier,chatcmpl-8TNIpGJyupMAUzxNkbi6FDPi,5817,e8ed5e0581ca4d11b22b4ffe3475f8ca,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:17.489543Z,76,/v1/chat/completions,unknown,,unknown,2525,2525,provider_stream
19904,,2026-07-29T16:28:26.447773Z,,25,2519,,,request,tool_calls,2026-07-29T16:28:23.927224Z,2026-07-29T16:28:23.927074Z,200,5,,20250,,qwen3.6-35b,,240,,kourier,chatcmpl-mPGFjTa4dsx3s6pkJx1EWZgm,6009,3de0b09032164c0f8ed7e8cc04116975,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:20.438489Z,26,/v1/chat/completions,unknown,,unknown,3489,3489,provider_stream
20096,,2026-07-29T16:28:27.430148Z,,41,1845,,,request,tool_calls,2026-07-29T16:28:25.561059Z,2026-07-29T16:28:25.560936Z,200,4,,20492,,qwen3.6-35b,,219,,kourier,chatcmpl-ZV5CfwxKXu8VGfh18fr68sIQ,3912,70182e41a5a445508c136ef90f064bcf,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:23.517801Z,42,/v1/chat/completions,unknown,,unknown,2043,2043,provider_stream
20224,,2026-07-29T16:28:32.234784Z,,20,2964,,,request,tool_calls,2026-07-29T16:28:29.224797Z,2026-07-29T16:28:29.224629Z,200,5,,20673,,qwen3.6-35b,,283,,kourier,chatcmpl-wWyJyjtNmwnhL5CcLCKvJ39e,5645,238a3da9bd17437fbd62c558c83265b0,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:26.589439Z,21,/v1/chat/completions,unknown,,unknown,2635,2635,provider_stream
20352,,2026-07-29T16:28:35.134819Z,,18,1213,,,request,tool_calls,2026-07-29T16:28:33.887504Z,2026-07-29T16:28:33.887360Z,200,5,,20751,,qwen3.6-35b,,147,,kourier,chatcmpl-asfqiFEAoAGcDzu1uvAwIKDa,4749,39055d616b9748d78e43a64f8a6cb419,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:30.385687Z,19,/v1/chat/completions,unknown,,unknown,3502,3502,provider_stream
19904,,2026-07-29T16:28:42.472643Z,,52,4118,,,request,tool_calls,2026-07-29T16:28:38.331084Z,2026-07-29T16:28:38.330938Z,200,5,,22178,,qwen3.6-35b,,257,,kourier,chatcmpl-XlfRAL4jIeYEdIQ2ZkyEU5Aa,7163,d03c9370d0d84584972ae398ac4d3548,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,2026-07-29T16:28:35.309196Z,53,/v1/chat/completions,unknown,,unknown,3022,3022,provider_stream
,,2026-07-29T16:23:52.029929Z,,0,,,,request,,,2026-07-29T16:23:50.583258Z,200,4,,,,qwen3.6-35b,,,,kourier,chatcmpl-IoDtccqhOvZRKmZmkfbfP5LL,8625,0fbf4de8f7a3426abaf7932856c88b74,/chat/completions,0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,2026-07-29T16:23:43.405063Z,0,/v1/chat/completions,unknown,,unknown,,7178,not_reported
